TS-Bayes_cumregret_mean,TS-Bayes_cumregret_se,TS-Freq_cumregret_mean,TS-Freq_cumregret_se,TS-Improved_cumregret_mean,TS-Improved_cumregret_se,TS-Bayes_thinnesses_mean,TS-Bayes_thinnesses_se,TS-Freq_thinnesses_mean,TS-Freq_thinnesses_se,TS-Improved_thinnesses_mean,TS-Improved_thinnesses_se
0.0,0.0,0.0,0.0,0.0,0.0,1.0055463542387313,,1.0055463542387313,,1.0055463542387313,
0.0,0.0,0.0,0.0,0.0,0.0,1.0111860302889442,5.9904921964360005e-09,1.0111860302889442,5.9904921964360005e-09,1.0111860302889442,5.9904921964360005e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0169216748760743,5.9904921964360005e-09,1.0169216748760743,5.9904921964360005e-09,1.0169216748760743,5.9904921964360005e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.022756041022318,,1.022756041022318,,1.022756041022318,
0.0,0.0,0.0,0.0,0.0,0.0,1.0286919935991523,,1.0286919935991523,,1.0286919935991523,
0.0,0.0,0.0,0.0,0.0,0.0,1.034732515238541,,1.034732515238541,,1.034732515238541,
0.0,0.0,0.0,0.0,0.0,0.0,1.0408807126304647,,1.0408807126304647,,1.0408807126304647,
0.0,0.0,0.0,0.0,0.0,0.0,1.0471398232370503,5.745878263165325e-09,1.0471398232370503,5.745878263165325e-09,1.0471398232370503,5.745878263165325e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0535132224562316,,1.0535132224562316,,1.0535132224562316,
0.0,0.0,0.0,0.0,0.0,0.0,1.0600044312709114,3.788719929240514e-09,1.0600044312709114,3.788719929240514e-09,1.0600044312709114,3.788719929240514e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.066617124423118,5.08310118569399e-09,1.066617124423118,5.08310118569399e-09,1.066617124423118,5.08310118569399e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0733551391561205,,1.0733551391561205,,1.0733551391561205,
0.0,0.0,0.0,0.0,0.0,0.0,1.0802224845718493,4.792393757148801e-09,1.0802224845718493,4.792393757148801e-09,1.0802224845718493,4.792393757148801e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0872233516554528,2.0751673693144063e-09,1.0872233516554528,2.0751673693144063e-09,1.0872233516554528,2.0751673693144063e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.094362124023863,7.67157315543034e-09,1.094362124023863,7.67157315543034e-09,1.094362124023863,7.67157315543034e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.1016433894611208,7.856456861687988e-09,1.1016433894611208,7.856456861687988e-09,1.1016433894611208,7.856456861687988e-09
