TS-Bayes_cumregret_mean,TS-Bayes_cumregret_se,TS-Freq_cumregret_mean,TS-Freq_cumregret_se,TS-Improved_cumregret_mean,TS-Improved_cumregret_se
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.46275233063850285,0.0710012475142494,0.5234965028293544,0.0731727615562145,0.4458874552926493,0.06819815525489685
1.045002995948842,0.10957897633004332,1.1416209779203113,0.11566197098795672,0.9654639894728926,0.11432101639370096
1.5656629744878126,0.13443202293017753,1.625668701046973,0.13729235335015763,1.366790915178202,0.13417910092955032
2.0537754898064353,0.14954889658541348,2.0912419192998466,0.15899843665612365,1.9219795342262538,0.1541639296619057
2.5133122363085207,0.15948976767881737,2.6902595761673704,0.19785297954232176,2.3239738495936435,0.16827171347821526
2.939029563091055,0.17232693612846817,3.174686883457885,0.21053109837576262,2.80447991342079,0.18130127512971972
3.5393804108349927,0.18014068356204385,3.7449749356279938,0.23328766030551007,3.3204420451477925,0.18689290828052266
3.8832431277006076,0.187986336407389,4.3128450377869845,0.2371097970778753,3.7236843537566955,0.19521828682030515
4.502633552861096,0.21277673465812888,4.967741504485631,0.25413776458266524,4.35751255927602,0.21924909353613456
4.888979543396211,0.21918129876778267,5.4362894090816125,0.27066491121223063,4.912021619123512,0.21794614974127116
5.373879361062433,0.239917636450721,6.11652137388744,0.2809415430159778,5.403883002761067,0.2308173263104284
5.943953036514716,0.2540943973412063,6.543098526910529,0.2776712829697467,6.122197020370906,0.2319817389373413
6.39686957750612,0.24837644034774828,7.006245233811873,0.2831603458476204,6.543172102164054,0.23251343424931345
6.962702607584279,0.26182476347501216,7.519368542383627,0.28862915770104625,7.091816644756624,0.23764751034418202
7.527642299060087,0.28550300927812466,8.043897091977325,0.3042485734827161,7.536844722715797,0.2547867131160925
8.02677195113647,0.2946796912357524,8.655557162740264,0.299175317282701,7.9408464678950565,0.2863823149395918
8.532567215161087,0.3228886395847302,9.129351137128863,0.325409805206037,8.35346108657459,0.3109350144286647
9.010467450592314,0.36592240812581306,9.65690580660124,0.3432505491131318,8.767675942684184,0.34013639398434053
9.480759651378559,0.4201965223227613,10.10136493453771,0.36460406670145046,9.2064053324712,0.3766604972714035
10.002064173798972,0.48425442507045374,10.56565988729729,0.39610862234395444,9.598658471034616,0.41289503144942513
10.531614841410338,0.5481166625547347,11.11274105533351,0.4324610470259362,9.952330748763483,0.4516289562316028
11.03945515541785,0.6180374067435005,11.52383369906117,0.4705410259092291,10.344446994454707,0.4919038442096976
11.54729546942536,0.6906789543994722,12.053696588766755,0.503528141993491,10.767307126825553,0.5337188801202706
12.055135783432872,0.7652668956112559,12.648290027671766,0.5383568292591926,11.166462754727581,0.5810030915919209
12.559749342317838,0.8414856748189793,13.080562644857253,0.5760694299691349,11.57495163619954,0.6295360624157649
13.079764651249164,0.918606603843542,13.531239010187692,0.6115714918427457,11.969339564121851,0.6774632194266115
13.610481997353634,0.9954469266389776,13.909301025312018,0.6338409496167194,12.32361657876772,0.7272180507804892
14.130497306284969,1.074101037718388,14.351872338466663,0.6578046324519796,12.692867944461103,0.7768717751847117
14.649193045876892,1.153322161846284,14.789779523680547,0.6990428948310655,13.03864581125351,0.8267457419423997
15.169208354808223,1.2329200062655423,15.205962202537274,0.7259486260739626,13.336908760008496,0.8705773183437499
15.673583767681128,1.310460980051416,15.639072651478985,0.7657220356217324,13.634140505249457,0.9141817496760793
16.176639611214643,1.3885488561192536,16.119547628661124,0.8066321578749825,13.931149269603784,0.953032331357055
16.670861308526796,1.4667620067650737,16.499401505799604,0.8374402296866398,14.234600392744648,0.9941144387094111
17.189557048118726,1.5475026320277023,16.840307759248553,0.8608235016499082,14.557125310882379,1.0422586651884516
17.692612891652242,1.6265246566489047,17.2673337586607,0.9010937418778417,14.851825973058407,1.086563745962717
18.195668735185766,1.7058220409983824,17.669645600114585,0.9344223464403499,15.17264703157876,1.1307526096565257
18.69872457871928,1.7853580948201484,18.01825104746087,0.962894341340627,15.49559586607572,1.1769230370373565
19.17448846597041,1.862411383045144,18.37613894260732,0.9979885787693583,15.750391211326406,1.2209199176898102
