TS-Bayes_cumregret_mean,TS-Bayes_cumregret_se,OFUL_cumregret_mean,OFUL_cumregret_se,TS-Freq_cumregret_mean,TS-Freq_cumregret_se,TS-Improved_cumregret_mean,TS-Improved_cumregret_se
51.46835615526996,4.101429298091948,0.0,0.0,43.34704362409329,4.421233459292691,52.56677546443894,4.190221956792754
84.91033334425276,6.799663982822286,0.0,0.0,73.54477289649702,7.152908242500622,93.62305455154889,7.109958296599755
114.45512186851464,9.647038128012786,0.0,0.0,97.17816113690522,9.80043332430493,125.40646267323127,9.829868970445261
139.02703417947833,12.29542159394957,0.0,0.0,113.68367740642907,11.9698196953108,152.80223818646738,12.422630352783848
162.51580991146594,14.911059937438512,0.0,0.0,129.09593379353575,14.127505547112175,179.64832135643576,15.048469375453232
186.00458564345365,17.55847539025862,0.0,0.0,143.93088245459407,16.32428059955075,205.9588664807807,17.686595991827414
209.49336137544122,20.225193222569295,0.0,0.0,157.12995522269205,18.355187639497476,232.26941160512573,20.355606391580913
232.9821371074289,22.904472424348047,0.0,0.0,168.7057544030671,20.221969106638934,258.57995672947067,23.04477233379594
256.47091283941654,25.59236812943827,0.0,0.0,179.18693011672968,21.991131290854426,284.3570313161992,25.71242244797039
279.95968857140406,28.286424114673242,0.0,0.0,190.19844396677505,23.693128928679496,310.13410590292796,28.396443752259906
303.4484643033918,30.985033567920453,0.0,0.0,198.46513305198482,25.20610357045079,335.9111804896566,31.092596881148328
326.9372400353794,33.6871021980618,0.0,0.0,205.59682405267947,26.564701827270685,361.68825507638525,33.79797859721636
350.42601576736706,36.39185948928238,0.0,0.0,210.52128240218838,27.552677960923063,387.46532966311383,36.510537480406384
373.9147914993547,39.098747460247345,0.0,0.0,214.90201374066874,28.483166567909,413.2424042498424,39.228784716893664
397.4035672313424,41.80735224957729,0.0,0.0,218.71548502077545,29.331823410213715,439.0194788365713,41.9516145937982
420.89234296332995,44.51736048518355,0.0,0.0,221.99445646852618,30.103141686188106,464.79655342329994,44.67818927726079
444.3811186953176,47.22853057530842,0.0,0.0,225.273427916277,30.91036523300741,490.57362801002864,47.40786264501772
467.86989442730527,49.94067329667684,0.0,0.0,228.55239936402774,31.750755627946138,516.3507025967575,50.14012861420432
491.35867015929296,52.65363835135702,0.0,0.0,231.8313708117785,32.62174967259781,542.1277771834859,52.87458527246346
514.8474458912805,55.36730485794923,0.0,0.0,235.11034225952923,33.52096187620756,567.9048517702149,55.610909464124276
538.3362216232683,58.08157449758218,0.0,0.0,237.28439767795652,34.13738109684394,593.6819263569436,58.3488384505211
561.8249973552558,60.796366489213874,0.0,0.0,239.45845309638375,34.77590271364019,619.4590009436722,61.08815645465951
585.3137730872434,63.511613849365645,0.0,0.0,241.63250851481098,35.43533193436159,645.2360755304012,63.82868464051937
608.802548819231,66.22726056918384,0.0,0.0,243.8065639332382,36.114523496795805,671.0131501171295,66.57027354799402
632.2913245512188,68.94325945684407,0.0,0.0,245.45092409927426,36.6510436649419,696.7902247038581,69.31279731028462
655.7801002832064,71.6595704693824,0.0,0.0,247.09528426531026,37.20362821828009,722.5672992905871,72.05614918315025
679.268876015194,74.37615940922574,0.0,0.0,248.7396444313463,37.77157211480879,748.3443738773155,74.80023805201544
702.7576517471815,77.09299689572487,0.0,0.0,249.86811781643675,38.1875824447998,774.1214484640445,77.54498567656015
726.2464274791694,79.81005754633583,0.0,0.0,250.9965912015272,38.61545346017292,799.8985230507732,80.29032449756085
749.7352032111569,82.52731931925413,0.0,0.0,252.12506458661764,39.05479533800426,825.6755976375022,83.03619587670957
773.2239789431445,85.24476298156011,0.0,0.0,254.37117940823344,39.49722708495843,851.4526722242309,85.78254867298426
796.7127546751321,87.96237167579152,0.0,0.0,256.5698816876835,39.903314995540356,877.2297468109593,88.52933808290061
820.2015304071199,90.6801305643377,0.0,0.0,257.69835507277395,40.374923687251105,903.0068213976882,91.27652468935305
843.6903061391074,93.39802653583259,0.0,0.0,258.82682845786434,40.856534090297046,928.7838959844167,94.02407367659418
867.1790818710949,96.11604796129706,0.0,0.0,259.9553018429548,41.3477967126917,954.5609705711453,96.7719541784866
890.6678576030822,98.83418449046934,0.0,0.0,261.0837752280452,41.8483716304323,980.338045157874,99.52013873438162
914.1566333350705,101.5524268808058,0.0,0.0,262.21224861313567,42.357928693996385,1006.1151197446027,102.26860283246265
937.6454090670578,104.27076685319913,0.0,0.0,263.34072199822606,42.87614766248028,1031.8921943313314,105.01732452459154
961.1341847990454,106.98919696966847,0.0,0.0,264.4691953833165,43.4027182732391,1057.6692689180602,107.76628409993884
984.6229605310334,109.70771052921637,0.0,0.0,265.59766876840695,43.9373402545003,1083.4463435047892,110.51546380719778
1008.1117362630206,112.42630147878066,0.0,0.0,266.7261421534974,44.47972328798281,1109.2234180915173,113.26484761715497
1031.6005119950082,115.14496433678947,0.0,0.0,267.8546155385878,45.029586928080164,1135.0004926782462,116.01442101894307
1055.0892877269957,117.86369412728789,0.0,0.0,268.4375395594376,45.33159101521172,1160.777567264975,118.76417084453456
1078.5780634589835,120.58248632296788,0.0,0.0,269.02046358028747,45.63904238539069,1186.5546418517035,121.51408511701422
1102.0668391909712,123.30133679573034,0.0,0.0,269.6033876011373,45.95183169982149,1212.331716438432,124.26415291895783
1125.5556149229594,126.02024177364123,0.0,0.0,270.1863116219871,46.26985070334805,1238.1087910251608,127.01436427787704
1149.0443906549467,128.73919780333964,0.0,0.0,270.7692356428369,46.59299231085812,1263.88586561189,129.76471006620523
