TS-Bayes_cumregret_mean,TS-Bayes_cumregret_se,TS-Freq_cumregret_mean,TS-Freq_cumregret_se,TS-Improved_cumregret_mean,TS-Improved_cumregret_se,TS-Thinness_cumregret_mean,TS-Thinness_cumregret_se,TS-ThinnessDirected_cumregret_mean,TS-ThinnessDirected_cumregret_se,TS-Bayes_thinnesses_mean,TS-Bayes_thinnesses_se,TS-Freq_thinnesses_mean,TS-Freq_thinnesses_se,TS-Improved_thinnesses_mean,TS-Improved_thinnesses_se,TS-Thinness_thinnesses_mean,TS-Thinness_thinnesses_se,TS-ThinnessDirected_thinnesses_mean,TS-ThinnessDirected_thinnesses_se
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0008343764488719,6.1153075223276264e-09,1.0008343764488719,6.1153075223276264e-09,1.0008343764488719,6.1153075223276264e-09,1.0008343764488719,6.1153075223276264e-09,1.0008343764488719,6.1153075223276264e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0016708449412666,7.489691524953166e-09,1.0016708449412666,7.489691524953166e-09,1.0016708449412666,7.489691524953166e-09,1.0016708449412666,7.489691524953166e-09,1.0016708449412666,7.489691524953166e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002509414234171,,1.002509414234171,,1.002509414234171,,1.002509414234171,,1.002509414234171,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.003350093135977,,1.003350093135977,,1.003350093135977,,1.003350093135977,,1.003350093135977,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0041928905068678,,1.0041928905068678,,1.0041928905068678,,1.0041928905068678,,1.0041928905068678,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.005037815259212,3.0576537611638132e-09,1.005037815259212,3.0576537611638132e-09,1.005037815259212,3.0576537611638132e-09,1.005037815259212,3.0576537611638132e-09,1.005037815259212,3.0576537611638132e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.005884876357959,,1.005884876357959,,1.005884876357959,,1.005884876357959,,1.005884876357959,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0067340828210367,,1.0067340828210367,,1.0067340828210367,,1.0067340828210367,,1.0067340828210367,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0075854437197562,7.489691524953166e-09,1.0075854437197562,7.489691524953166e-09,1.0075854437197562,7.489691524953166e-09,1.0075854437197562,7.489691524953166e-09,1.0075854437197562,7.489691524953166e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0084389681792214,0.0,1.0084389681792214,0.0,1.0084389681792214,0.0,1.0084389681792214,0.0,1.0084389681792214,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0092946653787334,0.0,1.0092946653787334,0.0,1.0092946653787334,0.0,1.0092946653787334,0.0,1.0092946653787334,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0101525445522106,6.1153075223276264e-09,1.0101525445522106,6.1153075223276264e-09,1.0101525445522106,6.1153075223276264e-09,1.0101525445522106,6.1153075223276264e-09,1.0101525445522106,6.1153075223276264e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0110126149886054,3.0576537611638132e-09,1.0110126149886054,3.0576537611638132e-09,1.0110126149886054,3.0576537611638132e-09,1.0110126149886054,3.0576537611638132e-09,1.0110126149886054,3.0576537611638132e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0118748860323272,3.0576537611638132e-09,1.0118748860323272,3.0576537611638132e-09,1.0118748860323272,3.0576537611638132e-09,1.0118748860323272,3.0576537611638132e-09,1.0118748860323272,3.0576537611638132e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0127393670836669,,1.0127393670836669,,1.0127393670836669,,1.0127393670836669,,1.0127393670836669,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013606067599229,,1.013606067599229,,1.013606067599229,,1.013606067599229,,1.013606067599229,
