TS-Bayes_cumregret_mean,TS-Bayes_cumregret_se,OFUL_cumregret_mean,OFUL_cumregret_se,TS-Freq_cumregret_mean,TS-Freq_cumregret_se,TS-Improved_cumregret_mean,TS-Improved_cumregret_se,TS-Bayes_thinnesses_mean,TS-Bayes_thinnesses_se,OFUL_thinnesses_mean,OFUL_thinnesses_se,TS-Freq_thinnesses_mean,TS-Freq_thinnesses_se,TS-Improved_thinnesses_mean,TS-Improved_thinnesses_se
15.435598996451114,8.366982701990283,0.0,0.0,21.991523449275075,9.393500421196581,27.656837278001184,8.68482122777426,1.0106053505944117,0.0013069815581631156,1.0127393670836677,,1.0101753107039673,0.0012996919067368529,1.0076274372872338,0.001767095705295166
21.312114179689257,12.131338070803428,0.0,0.0,30.87977085878496,13.7505430217553,39.67338707230764,13.102044473523694,1.013181249018462,0.0008113777095310427,1.0145993123917871,0.0,1.0125652145972057,0.0009185337386987227,1.010919288827215,0.0014850458410614385
27.1886293629274,15.977488694173111,0.0,0.0,33.8915030850567,15.4743803040848,54.905633492868255,18.777297501443115,1.0138900404685571,0.0009114916842966549,1.01534616513362,4.442667916416703e-09,1.015433469104884,0.0009692297391017635,1.0124339158034943,0.0010910804812765127
33.06514454616554,19.857964253375002,0.0,0.0,36.90323531132843,17.5492598192425,66.92218328717472,23.616813353021463,1.0142467104059252,0.0009687716513941541,1.015749000366741,8.885335832833407e-09,1.016129480933429,0.0011473621382626649,1.0127444204451093,0.0011728210516517125
38.94165972940368,23.755950019643368,0.0,0.0,39.91496753760017,19.86548908576475,78.93873308148117,28.481120316666928,1.0144634048735859,0.0010043802213186327,1.0160010160015247,0.0,1.0164779075957788,0.0012208353629427832,1.0129257937456468,0.0012215444395442092
44.81817491264182,27.664045187117033,0.0,0.0,39.91496753760017,19.86548908576475,90.95528287578763,33.35937538505054,1.0146093843459254,0.001028543403341761,1.0161735558713263,4.442667916416703e-09,1.0178094600531895,0.0008870689111201074,1.0130452128205243,0.0012538368875137222
50.69469009587996,31.57849661756394,0.0,0.0,39.91496753760017,19.86548908576475,102.97183267009409,38.246241746297464,1.0147145154706934,0.0010459977931811509,1.0162990946395944,6.282881220516323e-09,1.0181458979030817,0.000958104369951566,1.0131299363017918,0.001276811245768394
56.571205279118104,35.49720156389411,0.0,0.0,39.91496753760017,19.86548908576475,114.98838246440057,43.13879297568477,1.0147938777588292,0.0010591934022694575,1.0163945352271795,,1.0183313658018258,0.0009960877650508273,1.0131932202904794,0.0012939956757198362
62.447720462356244,39.41889149686404,0.0,0.0,39.91496753760017,19.86548908576475,127.00493225870703,48.03529203751142,1.0148559273469553,0.0010695187666993787,1.0164695431262756,,1.0184559371884438,0.0010181798570257272,1.013242311567635,0.0013073363630688064
68.32423564559438,43.342756171555806,0.0,0.0,39.91496753760017,19.86548908576475,139.0214820530135,52.934643409645055,1.0149057797740622,0.0010778184421089078,1.0165300454651285,4.442667916416703e-09,1.0185474533896415,0.0010322801860782977,1.0132815140829954,0.0013179946309210618
74.20075082883253,47.26825399762427,0.0,0.0,39.91496753760017,19.86548908576475,151.03803184731996,57.83612223110055,1.0149467135058647,0.0010846353511833838,1.0165798790335823,0.0,1.0186182874948373,0.0010419085310024129,1.0133135479781474,0.0013267064453296683
80.07726601207068,51.19500929927145,0.0,0.0,39.91496753760017,19.86548908576475,159.8662626215568,61.38356480787573,1.014980927527361,0.0010903343322883983,1.0166216371259404,7.694926552389893e-09,1.0186750608340474,0.001048819555229896,1.0144572920946648,0.001345595222030109
85.95378119530882,55.12275334245056,0.0,0.0,39.91496753760017,19.86548908576475,168.69449339579367,65.04843971866339,1.0150099522339366,0.0010951696024820597,1.0166571355507117,,1.018721735543997,0.001053973438215438,1.0146696557902892,0.0014400844528311516
91.83029637854696,59.05128883169597,0.0,0.0,39.91496753760017,19.86548908576475,177.52272417003056,68.81198644611648,1.0150348857694158,0.0010993237248442733,1.0166876836835717,0.0,1.0187608658041227,0.0010579349399514304,1.0147674416074717,0.0014857340958884485
97.7068115617851,62.98046766298028,0.0,0.0,39.91496753760017,19.86548908576475,186.35095494426741,72.65887375267027,1.0150565366652842,0.0011029311915441487,1.0167142495158323,0.0,1.0187941884503215,0.0010610556106834792,1.014827053970032,0.0015125823271826375
103.58332674502324,66.91017649911419,0.0,0.0,39.91496753760017,19.86548908576475,195.1791857185043,76.57654261502323,1.015075513460736,0.0011060932691573562,1.0167375641047263,,1.0188229331996994,0.0010635644709744356,1.0148687169193946,0.0015303852145777568
109.45984192826138,70.84032713764883,0.0,0.0,39.91496753760017,19.86548908576475,204.00741649274116,80.55466659512958,1.015092282966364,0.001108887662807997,1.0167581898857814,0.0,1.018847998854036,0.0010656163934730449,1.014900221544737,0.001543139989622944
115.33635711149952,74.77084991176162,0.0,0.0,39.91496753760017,19.86548908576475,212.83564726697804,84.58471628581923,1.0151072092717253,0.001111374992511392,1.016776566639004,,1.018870059537317,0.001067319427865766,1.0149252704948957,0.0015527800192341123
121.21287229473766,78.70168906584435,0.0,0.0,39.91496753760017,19.86548908576475,221.6638780412149,88.65961107274613,1.0151205805368975,0.0011136032446658545,1.0167930431959322,6.282881220516323e-09,1.018889631839654,0.001068750979911056,1.0149458814986232,0.0015603551967245358
127.0893874779758,82.63279944935965,0.0,0.0,39.91496753760017,19.86548908576475,230.4921088154518,92.77344194060449,1.0151326278116755,0.001115610900480342,1.016807899794625,4.442667916416703e-09,1.0189071189073837,0.0010699677798190908,1.0149632656170344,0.0015664860278247032
